#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: rda
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2022-02-02
#curie_map: 
# linkml: https://w3id.org/linkml/
# rda: https://example.org/rda/
# dcat: http://www.w3.org/ns/dcat#
# DDI: http://example.org/DDI/
# unknown: http://example.org/unknown/
# B2FIND: http://example.org/B2FIND/
# sosa: http://example.org/sosa/
# DATS: http://example.org/DATS/
# dc: http://purl.org/dc/elements/1.1/
# ISO19115-1: http://example.org/ISO19115-1/
# bioschemas: http://example.org/bioschemas/
# ECRIN: http://example.org/ECRIN/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# Datacite: http://example.org/Datacite/
# Dataverse: http://example.org/Dataverse/
# foaf: http://xmlns.com/foaf/0.1/
# dct: http://example.org/dct/
# CodeMeta: http://example.org/CodeMeta/
# dcterms: https://dublincore.org/specifications/dublin-core/dcmi-terms/#
# EOSC: http://example.org/EOSC/
# owl: http://www.w3.org/2002/07/owl#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		DATS:distribution.storedIn		skos:exactMatch	rda									
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		dcterms:isPartOf		skos:exactMatch	rda									
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		bioschemas:includedInDataCatalog		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		dct:language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		dcterms:language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		Datacite:Language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		ISO19115-1:MD_Metadata/language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		Dataverse:Language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		dcterms:language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		B2FIND:Language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		DDI:language		skos:exactMatch	rda									
rda:inLanguage	inLanguage	skos:exactMatch		ECRIN:Language		skos:exactMatch	rda									
rda:isAccessibleForFree	isAccessibleForFree	skos:exactMatch		DDI:avlStatus		skos:exactMatch	rda									
rda:isAccessibleForFree	isAccessibleForFree	skos:exactMatch		CodeMeta:isAccessibleForFree		skos:exactMatch	rda									
rda:isBasedOn	isBasedOn	skos:exactMatch		dct:source(O)		skos:exactMatch	rda									
rda:isBasedOn	isBasedOn	skos:exactMatch		dct:source(O)		skos:exactMatch	rda									
rda:isBasedOn	isBasedOn	skos:exactMatch		Datacite:isContinuedBy		skos:exactMatch	rda									
rda:isBasedOn	isBasedOn	skos:exactMatch		ISO19115-1:MD_Metadata/resourceLineage//source//sourceCitation		skos:exactMatch	rda									
rda:isBasedOn	isBasedOn	skos:exactMatch		dc:source		skos:exactMatch	rda									
rda:isBasedOn	isBasedOn	skos:exactMatch		DDI:derivation		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		dct:isPartOf		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		dcterms:isPartOf		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		Datacite:isPartOf		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		ISO19115-1:MD_Identifcation/associatedResource/name/CI_Citation		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		EOSC:includedIn(Dataset)		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		dcterms:isPartOf		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		DDI:isPartOf		skos:exactMatch	rda									
rda:isPartOf	isPartOf	skos:exactMatch		CodeMeta:isPartOf		skos:exactMatch	rda									
rda:isRelatedTo	isRelatedTo	skos:exactMatch		dct:relation		skos:exactMatch	rda									
rda:isRelatedTo	isRelatedTo	skos:exactMatch		dct:relation		skos:exactMatch	rda									
rda:isRelatedTo	isRelatedTo	skos:exactMatch		Datacite:relationType		skos:exactMatch	rda									
rda:isRelatedTo	isRelatedTo	skos:exactMatch		ISO19115-1:MD_Identifcation/associatedResource/name/CI_Citation		skos:exactMatch	rda									
rda:isRelatedTo	isRelatedTo	skos:exactMatch		dct:relation		skos:exactMatch	rda									
rda:keywords	keywords	skos:exactMatch		dct:keyword		skos:exactMatch	rda									
rda:keywords	keywords	skos:exactMatch		dcat:keyword		skos:exactMatch	rda									
rda:keywords	keywords	skos:exactMatch		dcterms:subject		skos:exactMatch	rda									
rda:keywords	keywords	skos:exactMatch		ISO19115-1:MD_Identification/descriptiveKeywords//keyword		skos:exactMatch	rda									
rda:keywords	keywords	skos:exactMatch		EOSC:keywords		skos:exactMatch	rda									
